from_cinema,to_cinema,from_nearest_station,to_nearest_station,walk_from_cinema_to_station_min,metro_in_vehicle_min_est,walk_station_to_cinema_min,total_metro_transfer_min_est,note
CGV影城（松江印象城杜比ULTRA 4DX店）,UME影城（上海新天地店）,Songjiang University Town,South Huangpi Road,22.3,69.6,9.3,101.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,万达影城（五角场万达广场激光IMAX店）,Songjiang University Town,Jiangwan Stadium,22.3,96.1,8.2,126.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,万达影城（崇明万达广场店）,Songjiang University Town,North Jiangyang Road,22.3,127.0,333.7,483.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,万达影城（金山万达广场店）,Songjiang University Town,Minhang Development Zone,22.3,113.5,390.8,526.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海大光明电影院,Songjiang University Town,People's Square,22.3,72.4,9.9,104.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海市沪北电影院,Songjiang University Town,North Xizang Road,22.3,80.7,13.9,116.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海影城SHO,Songjiang University Town,Jiaotong University,22.3,60.6,8.3,91.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海百丽宫影城（万象城店）,Songjiang University Town,Longbai Xincun,22.3,72.7,15.7,110.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海百丽宫影城（环贸iapm店）,Songjiang University Town,South Shaanxi Road,22.3,66.4,8.2,96.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海百丽宫影城（长宁来福士店）,Songjiang University Town,Zhongshan Park,22.3,63.7,9.2,95.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海百丽宫影城（陆家嘴中心店）,Songjiang University Town,Shangcheng Road,22.3,78.3,6.4,107.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海百美汇影城（静安嘉里中心店）,Songjiang University Town,Jing'an Temple,22.3,66.8,10.1,99.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海科技影城,Songjiang University Town,South Shaanxi Road,22.3,66.4,13.6,102.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海美琪大戏院,Songjiang University Town,West Nanjing Road,22.3,69.6,10.1,102.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,上海艺海剧院,Songjiang University Town,West Nanjing Road,22.3,69.6,17.6,109.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,世纪友谊影城（LUXE南方商城店）,Songjiang University Town,Lianhua Road,22.3,72.3,8.9,103.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,临港演艺中心,Songjiang University Town,Dishui Lake,22.3,194.0,13.6,229.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,久事·上海商城剧院,Songjiang University Town,Jing'an Temple,22.3,66.8,8.0,97.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,九棵树未来艺术中心,Songjiang University Town, Jingping Road,22.3,104.2,166.7,293.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,佰映三克映画,Songjiang University Town,Changping Road,22.3,69.7,15.1,107.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,兰心大戏院,Songjiang University Town,South Shaanxi Road,22.3,66.4,10.7,99.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,博悦汇影城(BFC外滩金融中心店),Songjiang University Town,Lujiazui,22.3,78.7,19.6,120.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,和平影都,Songjiang University Town,People's Square,22.3,72.4,6.6,101.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,嘉定影剧院,Songjiang University Town,North Jiading,22.3,125.8,28.9,177.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,国泰电影院,Songjiang University Town,South Shaanxi Road,22.3,66.4,7.2,95.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,天山电影院-宛平剧院影城,Songjiang University Town,Shanghai Stadium,22.3,66.3,15.1,103.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,天山电影院-虹桥艺术中心旗舰店,Songjiang University Town,Loushanguan Road,22.3,67.0,5.4,94.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,寰映影城（大融城店）,Songjiang University Town,Xingzhi Road,22.3,83.6,14.0,119.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,星轶STARX影剧院（上海宝山日月光店）,Songjiang University Town,Changzhong Road,22.3,89.2,12.2,123.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,曹杨影城,Songjiang University Town,Fengqiao Road,22.3,71.6,12.9,106.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,朵云轩杜比全景声影城,Songjiang University Town,Longcao Road,22.3,60.8,12.1,95.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,沪东工人文化宫东宫影剧院,Songjiang University Town,Ningguo Road,22.3,90.5,23.0,135.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,黄浦剧场,Songjiang University Town,Qufu Road,22.3,75.1,13.0,110.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,CGV影城（松江印象城杜比ULTRA 4DX店）,Tilanqiao,Songjiang University Town,6.2,83.0,22.3,111.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,CGV影城（青浦天空万科广场IMAX店）,Tilanqiao,East Xujing,6.2,50.9,36.5,93.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,CMG融媒影城,Tilanqiao,Longhua Middle Road,6.2,25.6,16.5,48.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,MOViE MOViE影城（前滩太古里店）,Tilanqiao,Oriental Sports Center,6.2,33.1,5.9,45.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,SFC上影影城（丁香路LUXE店）,Tilanqiao,Middle Yanggao Road,6.2,15.0,10.1,31.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,SFC上影影城（国华广场店）,Tilanqiao,Jiangwan Stadium,6.2,22.0,12.6,40.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,SFC上影影城（港汇永华IMAX激光店）,Tilanqiao,Xujiahui,6.2,25.2,8.7,40.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,SFC上影百联影城（八佰伴IMAX店）,Tilanqiao,Shangcheng Road,6.2,13.3,8.1,27.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,SFC动漫主题影院（美罗城店）,Tilanqiao,Xujiahui,6.2,25.2,7.1,38.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,SFC永华电影荟（世纪汇店）,Tilanqiao,Pudian Road,6.2,12.9,11.3,30.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,UME影城（上海新天地店）,Tilanqiao,South Huangpi Road,6.2,13.4,9.3,28.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,万达影城（五角场万达广场激光IMAX店）,Tilanqiao,Jiangwan Stadium,6.2,22.0,8.2,36.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,万达影城（崇明万达广场店）,Tilanqiao,North Jiangyang Road,6.2,59.7,333.7,399.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,万达影城（金山万达广场店）,Tilanqiao,Minhang Development Zone,6.2,84.1,390.8,481.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海大光明电影院,Tilanqiao,People's Square,6.2,10.6,9.9,26.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海市沪北电影院,Tilanqiao,North Xizang Road,6.2,14.2,13.9,34.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海影城SHO,Tilanqiao,Jiaotong University,6.2,23.3,8.3,37.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海百丽宫影城（万象城店）,Tilanqiao,Longbai Xincun,6.2,41.1,15.7,63.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海百丽宫影城（环贸iapm店）,Tilanqiao,South Shaanxi Road,6.2,16.6,8.2,31.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海百丽宫影城（长宁来福士店）,Tilanqiao,Zhongshan Park,6.2,23.8,9.2,39.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海百丽宫影城（陆家嘴中心店）,Tilanqiao,Shangcheng Road,6.2,13.3,6.4,25.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海百美汇影城（静安嘉里中心店）,Tilanqiao,Jing'an Temple,6.2,17.3,10.1,33.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海科技影城,Tilanqiao,South Shaanxi Road,6.2,16.6,13.6,36.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海美琪大戏院,Tilanqiao,West Nanjing Road,6.2,13.9,10.1,30.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,上海艺海剧院,Tilanqiao,West Nanjing Road,6.2,13.9,17.6,37.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,世纪友谊影城（LUXE南方商城店）,Tilanqiao,Lianhua Road,6.2,42.8,8.9,57.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,临港演艺中心,Tilanqiao,Dishui Lake,6.2,123.8,13.6,143.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,久事·上海商城剧院,Tilanqiao,Jing'an Temple,6.2,17.3,8.0,31.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,九棵树未来艺术中心,Tilanqiao, Jingping Road,6.2,74.7,166.7,247.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,佰映三克映画,Tilanqiao,Changping Road,6.2,18.9,15.1,40.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,兰心大戏院,Tilanqiao,South Shaanxi Road,6.2,16.6,10.7,33.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,博悦汇影城(BFC外滩金融中心店),Tilanqiao,Lujiazui,6.2,12.1,19.6,37.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,和平影都,Tilanqiao,People's Square,6.2,10.6,6.6,23.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,嘉定影剧院,Tilanqiao,North Jiading,6.2,78.8,28.9,113.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,国泰电影院,Tilanqiao,South Shaanxi Road,6.2,16.6,7.2,30.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,天山电影院-宛平剧院影城,Tilanqiao,Shanghai Stadium,6.2,27.9,15.1,49.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,天山电影院-虹桥艺术中心旗舰店,Tilanqiao,Loushanguan Road,6.2,27.1,5.4,38.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,寰映影城（大融城店）,Tilanqiao,Xingzhi Road,6.2,30.3,14.0,50.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,星轶STARX影剧院（上海宝山日月光店）,Tilanqiao,Changzhong Road,6.2,35.9,12.2,54.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,曹杨影城,Tilanqiao,Fengqiao Road,6.2,24.6,12.9,43.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,朵云轩杜比全景声影城,Tilanqiao,Longcao Road,6.2,31.0,12.1,49.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,沪东工人文化宫东宫影剧院,Tilanqiao,Ningguo Road,6.2,7.5,23.0,36.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（白玉兰广场IMAX店）,黄浦剧场,Tilanqiao,Qufu Road,6.2,8.6,13.0,27.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,CGV影城（松江印象城杜比ULTRA 4DX店）,East Xujing,Songjiang University Town,36.5,85.7,22.3,144.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,CGV影城（白玉兰广场IMAX店）,East Xujing,Tilanqiao,36.5,50.9,6.2,93.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,CMG融媒影城,East Xujing,Longhua Middle Road,36.5,41.4,16.5,94.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,MOViE MOViE影城（前滩太古里店）,East Xujing,Oriental Sports Center,36.5,48.0,5.9,90.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,SFC上影影城（丁香路LUXE店）,East Xujing,Middle Yanggao Road,36.5,56.9,10.1,103.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,SFC上影影城（国华广场店）,East Xujing,Jiangwan Stadium,36.5,63.9,12.6,113.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,SFC上影影城（港汇永华IMAX激光店）,East Xujing,Xujiahui,36.5,33.6,8.7,78.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,SFC上影百联影城（八佰伴IMAX店）,East Xujing,Shangcheng Road,36.5,53.0,8.1,97.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,SFC动漫主题影院（美罗城店）,East Xujing,Xujiahui,36.5,33.6,7.1,77.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,SFC永华电影荟（世纪汇店）,East Xujing,Pudian Road,36.5,54.8,11.3,102.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,UME影城（上海新天地店）,East Xujing,South Huangpi Road,36.5,40.3,9.3,86.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,万达影城（五角场万达广场激光IMAX店）,East Xujing,Jiangwan Stadium,36.5,63.9,8.2,108.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,万达影城（崇明万达广场店）,East Xujing,North Jiangyang Road,36.5,94.9,333.7,465.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,万达影城（金山万达广场店）,East Xujing,Minhang Development Zone,36.5,89.4,390.8,516.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,上海大光明电影院,East Xujing,People's Square,36.5,40.2,9.9,86.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,上海市沪北电影院,East Xujing,North Xizang Road,36.5,48.6,13.9,98.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,上海影城SHO,East Xujing,Jiaotong University,36.5,30.9,8.3,75.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,上海百丽宫影城（万象城店）,East Xujing,Longbai Xincun,36.5,21.9,15.7,74.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,上海百丽宫影城（环贸iapm店）,East Xujing,South Shaanxi Road,36.5,37.6,8.2,82.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,上海百丽宫影城（长宁来福士店）,East Xujing,Zhongshan Park,36.5,27.1,9.2,72.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,上海百丽宫影城（陆家嘴中心店）,East Xujing,Shangcheng Road,36.5,53.0,6.4,95.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,上海百美汇影城（静安嘉里中心店）,East Xujing,Jing'an Temple,36.5,33.6,10.1,80.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（青浦天空万科广场IMAX店）,上海科技影城,East Xujing,South Shaanxi Road,36.5,37.6,13.6,87.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
